# ============================================================================
# anexo1_ba.csv - AMOSTRA INICIAL da relacao de mercadorias sujeitas a
# Substituicao Tributaria na Bahia (Anexo I do RICMS/BA, Dec. 13.780/2012).
#
# Conteudo baseado na tabela CEST do Convenio ICMS 142/18 (CONFAZ), anexos
# II a XXVI, na redacao publicada no site do CONFAZ, conferida em
# 07/07/2026. Sao 208 itens reais (CEST e NCM validados contra a tabela
# oficial) cobrindo os principais segmentos.
#
# ATENCAO: isto e uma AMOSTRA. Antes do uso em producao, CONFIRA e
# SUBSTITUA/COMPLEMENTE este arquivo com a tabela oficial vigente do
# Anexo I do RICMS/BA (site da SEFAZ/BA) - ver dados/LEIA-ME.txt.
#
# Formato: separador ';', codificacao UTF-8; linhas iniciadas com '#' sao
# ignoradas. CEST no formato NN.NNN.NN; NCM completo com pontos ou prefixo
# de posicao/subposicao (ex.: 3305.10.00, 2203, 8708). NAO use ';' dentro
# dos campos (quebra a leitura).
# ============================================================================
cest;ncm;descricao;segmento;fundamentacao
17.106.00;2008.19.00;Milho para pipoca (micro-ondas);Produtos alimenticios;Anexo I RICMS/BA - Conv. ICMS 142/18, seg. 17
17.107.00;2101.1;Extratos, essencias e concentrados de cafe (cafe soluvel), ate 500 g;Produtos alimenticios;Anexo I RICMS/BA - Conv. ICMS 142/18, seg. 17
17.110.00;2202.10.00;Refrescos e outras bebidas prontas para beber a base de cha e mate;Produtos alimenticios;Anexo I RICMS/BA - Conv. ICMS 142/18, seg. 17
17.112.00;2202.99.00;Nectares de frutas e outras bebidas nao alcoolicas prontas para beber;Produtos alimenticios;Anexo I RICMS/BA - Conv. ICMS 142/18, seg. 17
17.115.00;2202.99.00;Bebidas alimentares prontas a base de soja, leite ou cacau (bebidas lacteas);Produtos alimenticios;Anexo I RICMS/BA - Conv. ICMS 142/18, seg. 17
19.004.00;3926.10.00;Artigos de escritorio e artigos escolares de plastico;Produtos de papelaria;Anexo I RICMS/BA - Conv. ICMS 142/18, seg. 19
19.020.00;4820.10.00;Livros de registro, blocos de notas, agendas e artigos semelhantes;Produtos de papelaria;Anexo I RICMS/BA - Conv. ICMS 142/18, seg. 19
19.021.00;4820.20.00;Cadernos;Produtos de papelaria;Anexo I RICMS/BA - Conv. ICMS 142/18, seg. 19
19.027.00;9608.10.00;Canetas esferograficas;Produtos de papelaria;Anexo I RICMS/BA - Conv. ICMS 142/18, seg. 19
19.031.00;4802.56;Papel cortado cutsize (A3, A4, oficio, carta);Produtos de papelaria;Anexo I RICMS/BA - Conv. ICMS 142/18, seg. 19
20.007.00;3303.00.10;Perfumes (extratos);Perfumaria e higiene pessoal;Anexo I RICMS/BA - Conv. ICMS 142/18, seg. 20
20.008.00;3303.00.20;Aguas-de-colonia;Perfumaria e higiene pessoal;Anexo I RICMS/BA - Conv. ICMS 142/18, seg. 20
20.009.00;3304.10.00;Produtos de maquilagem para os labios;Perfumaria e higiene pessoal;Anexo I RICMS/BA - Conv. ICMS 142/18, seg. 20
20.012.00;3304.30.00;Preparacoes para manicuros e pedicuros, incluindo removedores de esmalte;Perfumaria e higiene pessoal;Anexo I RICMS/BA - Conv. ICMS 142/18, seg. 20
20.014.00;3304.99.10;Cremes de beleza, cremes nutritivos e locoes tonicas;Perfumaria e higiene pessoal;Anexo I RICMS/BA - Conv. ICMS 142/18, seg. 20
20.015.00;3304.99.90;Outros produtos de beleza ou maquilagem e preparacoes para cuidados da pele;Perfumaria e higiene pessoal;Anexo I RICMS/BA - Conv. ICMS 142/18, seg. 20
20.016.00;3304.99.90;Preparacoes solares e antissolares (protetor solar);Perfumaria e higiene pessoal;Anexo I RICMS/BA - Conv. ICMS 142/18, seg. 20
20.017.00;3305.10.00;Xampus para o cabelo;Perfumaria e higiene pessoal;Anexo I RICMS/BA - Conv. ICMS 142/18, seg. 20
20.021.00;3305.90.00;Condicionadores;Perfumaria e higiene pessoal;Anexo I RICMS/BA - Conv. ICMS 142/18, seg. 20
20.022.00;3305.90.00;Tintura para o cabelo;Perfumaria e higiene pessoal;Anexo I RICMS/BA - Conv. ICMS 142/18, seg. 20
20.023.00;3306.10.00;Dentifricios (cremes dentais);Perfumaria e higiene pessoal;Anexo I RICMS/BA - Conv. ICMS 142/18, seg. 20
20.024.00;3306.20.00;Fios dentais;Perfumaria e higiene pessoal;Anexo I RICMS/BA - Conv. ICMS 142/18, seg. 20
20.026.00;3307.10.00;Preparacoes para barbear (antes, durante ou apos);Perfumaria e higiene pessoal;Anexo I RICMS/BA - Conv. ICMS 142/18, seg. 20
20.027.00;3307.20.10;Desodorantes corporais liquidos;Perfumaria e higiene pessoal;Anexo I RICMS/BA - Conv. ICMS 142/18, seg. 20
20.034.00;3401.11.90;Saboes de toucador em barras, pedacos ou figuras moldados (sabonetes);Perfumaria e higiene pessoal;Anexo I RICMS/BA - Conv. ICMS 142/18, seg. 20
20.042.00;4818.10.00;Papel higienico - folha simples;Perfumaria e higiene pessoal;Anexo I RICMS/BA - Conv. ICMS 142/18, seg. 20
20.043.00;4818.10.00;Papel higienico - folha dupla e tripla;Perfumaria e higiene pessoal;Anexo I RICMS/BA - Conv. ICMS 142/18, seg. 20
20.048.00;9619.00.00;Fraldas;Perfumaria e higiene pessoal;Anexo I RICMS/BA - Conv. ICMS 142/18, seg. 20
20.050.00;9619.00.00;Absorventes higienicos externos;Perfumaria e higiene pessoal;Anexo I RICMS/BA - Conv. ICMS 142/18, seg. 20
20.058.00;9603.21.00;Escovas de dentes, incluidas as escovas para dentaduras;Perfumaria e higiene pessoal;Anexo I RICMS/BA - Conv. ICMS 142/18, seg. 20
20.064.00;8212.10.20;Aparelhos e laminas de barbear;Perfumaria e higiene pessoal;Anexo I RICMS/BA - Conv. ICMS 142/18, seg. 20
22.001.00;2309;Racao tipo pet para animais domesticos;Racoes pet;Anexo I RICMS/BA - Conv. ICMS 142/18, seg. 22
23.001.00;2105.00;Sorvetes de qualquer especie;Sorvetes;Anexo I RICMS/BA - Conv. ICMS 142/18, seg. 23
23.002.00;1806;Preparados para fabricacao de sorvete em maquina;Sorvetes;Anexo I RICMS/BA - Conv. ICMS 142/18, seg. 23
23.002.00;2106;Preparados para fabricacao de sorvete em maquina;Sorvetes;Anexo I RICMS/BA - Conv. ICMS 142/18, seg. 23
24.001.00;3208;Tintas e vernizes, em meio nao aquoso;Tintas e vernizes;Anexo I RICMS/BA - Conv. ICMS 142/18, seg. 24
24.001.00;3209;Tintas e vernizes, em meio aquoso;Tintas e vernizes;Anexo I RICMS/BA - Conv. ICMS 142/18, seg. 24
24.001.00;3210.00;Outras tintas e vernizes;Tintas e vernizes;Anexo I RICMS/BA - Conv. ICMS 142/18, seg. 24
24.002.00;3206;Xadrez e pos assemelhados, em embalagem ate 1 kg;Tintas e vernizes;Anexo I RICMS/BA - Conv. ICMS 142/18, seg. 24
24.003.00;3204;Corantes para aplicacao em bases, tintas e vernizes;Tintas e vernizes;Anexo I RICMS/BA - Conv. ICMS 142/18, seg. 24
28.001.00;3303.00.10;Perfumes (extratos) - venda porta a porta;Venda porta a porta;Anexo I RICMS/BA - Conv. ICMS 142/18, seg. 28
28.004.00;3304.20.10;Sombra, delineador, lapis para sobrancelhas e rimel - venda porta a porta;Venda porta a porta;Anexo I RICMS/BA - Conv. ICMS 142/18, seg. 28
28.011.00;3305.10.00;Xampus para o cabelo - venda porta a porta;Venda porta a porta;Anexo I RICMS/BA - Conv. ICMS 142/18, seg. 28
28.022.00;3401.20.10;Saboes de toucador sob outras formas - venda porta a porta;Venda porta a porta;Anexo I RICMS/BA - Conv. ICMS 142/18, seg. 28
